seed,reviewers,items,ranking,runtime
0,20,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.0007374359993264
1,20,10,"[0, 1, 4, 6, 8, 7, 5, 9, 3, 2]",0.0005092530045658
2,20,10,"[0, 2, 1, 4, 3, 7, 5, 8, 9, 6]",0.0005506990055437
3,20,10,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 8]",0.0004632990021491
4,20,10,"[3, 5, 6, 8, 7, 2, 9, 4, 1, 0]",0.0005705959993065
5,20,10,"[1, 3, 5, 6, 7, 8, 4, 9, 2, 0]",0.0008693210038472
6,20,10,"[0, 5, 3, 8, 7, 9, 2, 6, 4, 1]",0.0005192879980313
7,20,10,"[0, 2, 5, 4, 6, 7, 8, 1, 9, 3]",0.0004781449970323
8,20,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.0009747320000315
9,20,10,"[0, 2, 3, 5, 7, 9, 8, 4, 6, 1]",0.0012501629971666
0,1020,10,"[1, 0, 2, 3, 5, 4, 6, 7, 9, 8]",0.007281388003320899
0,2020,10,"[0, 1, 3, 2, 4, 5, 7, 6, 8, 9]",0.013645457998791244
0,3020,10,"[0, 1, 2, 3, 5, 4, 6, 7, 8, 9]",0.020914073997118976
0,4020,10,"[0, 1, 2, 3, 5, 4, 6, 7, 8, 9]",0.08879888299998129
0,5020,10,"[0, 1, 2, 3, 5, 4, 7, 6, 8, 9]",0.026756186998682097
0,6020,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.034119170006306376
0,7020,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.11191640100150835
0,8020,10,"[0, 1, 2, 3, 4, 6, 5, 7, 8, 9]",0.046731580994674005
0,9020,10,"[0, 1, 2, 3, 4, 6, 5, 7, 8, 9]",0.1069403700021212
1,1020,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.005035317997680977
1,2020,10,"[1, 0, 2, 3, 4, 6, 5, 8, 7, 9]",0.013531773998693097
1,3020,10,"[1, 0, 3, 2, 4, 5, 6, 8, 7, 9]",0.015613832001690753
1,4020,10,"[1, 0, 2, 3, 5, 4, 6, 8, 7, 9]",0.0189145069962251
1,5020,10,"[1, 0, 3, 2, 4, 6, 5, 7, 8, 9]",0.08046778100106167
1,6020,10,"[0, 1, 2, 3, 4, 5, 6, 8, 7, 9]",0.03342476599937072
1,7020,10,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 8]",0.09540823499992257
1,8020,10,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 9]",0.043311423003615346
1,9020,10,"[0, 1, 2, 4, 3, 5, 6, 7, 8, 9]",0.10699971199937863
2,1020,10,"[0, 1, 3, 2, 5, 6, 8, 7, 9, 4]",0.0049448989957454614
2,2020,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.01177965100214351
2,3020,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.017412909997801762
2,4020,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.02070843399997102
2,5020,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.08440257299662335
